date,count
2015-01,18
2015-02,21
2015-03,20
2015-04,36
2015-05,8
2015-06,11
2015-07,5
2015-08,16
2015-09,8
2015-10,17
2015-11,10
2015-12,20
2016-01,16
2016-02,10
2016-03,16
2016-04,6
2016-05,12
2016-06,6
2016-07,100
2016-08,20
2016-09,35
2016-10,22
2016-11,12
2016-12,9
2017-01,7
2017-02,14
2017-03,11
2017-04,8
2017-05,9
2017-06,20
2017-07,18
2017-08,8
2017-09,9
2017-10,7
2017-11,9
2017-12,7
2018-01,9
2018-02,10
2018-03,3
2018-04,7
2018-05,14
2018-06,11
2018-07,22
2018-08,15
2018-09,19
2018-10,14
2018-11,4
2018-12,6
2019-01,16
2019-02,15
2019-03,14
2019-04,5
2019-05,18
2019-06,15
2019-07,17
2019-08,5
2019-09,10
2019-10,13
2019-11,12
2019-12,7
2020-01,6
2020-02,2
2020-03,7
2020-04,7
2020-05,16
2020-06,59